seed, starting_position, habit_result, habit_len, habit_reward, trajectory
17,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
26,(8;7),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
27,(8;7),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3
19,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
19,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
18,(3;6),0,14,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4
15,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
28,(8;7),0,7,-100,0;7/0;6/0;5/1;5/1;6/1;5/1;6
20,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
20,(0;1),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1
29,(8;7),0,4,-100,0;7/0;6/0;5/1;5
19,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
16,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
30,(8;7),0,7,-100,0;7/0;6/0;5/1;5/1;6/1;7/1;6
21,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
20,(3;6),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
21,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
31,(8;7),0,6,-100,0;7/0;6/0;5/1;5/1;6/1;5
17,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
22,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
32,(8;7),0,6,-100,0;7/0;6/0;5/1;5/1;6/1;5
22,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
21,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
18,(14;1),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5
23,(0;1),0,10,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0
23,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
33,(8;7),1,20,100,0;7/0;6/0;5/1;5/1;6/1;7/1;6/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
22,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
24,(0;1),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2
19,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
34,(8;7),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/2;3/3;3/3;2/3;1/3;0
24,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
35,(8;7),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1
23,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
25,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
20,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
25,(0;0),0,13,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3
36,(8;7),0,15,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5
24,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
26,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
21,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
26,(0;0),0,14,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4
37,(8;7),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
38,(8;7),0,5,-100,0;7/0;6/0;5/1;5/1;4
25,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
27,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
